cdrRecordType,globalCallID_callManagerId,globalCallID_callId,orignodeId,destnodeId,origlegcallIdentifier,destlegidentifier,orignumberPacketsSent,orignumberOctetsSent,orignumberPacketsReceived,orignumberOctetsReceived,orignumberPacketsLost,destnumberPacketsSent,destnumberOctetsSent,destnumberPacketsReceived,destnumberOctetsReceived,destnumberPacketsLost,origjitter,destjitter,origlatency,destlatency,pkid,origdeviceName,destdeviceName,origvarVQMetrics,destvarVQMetrics,globalCallId_ClusterID,callingPartyNumber,finalCalledPartyNumber,callingPartyNumberPartition,finalCalledPartyNumberPartition
1,2,818133,2,2,35590607,35590608,840,144480,840,144480,0,841,144652,839,144308,0,0,0,0,0,7639a539-46fb-4e2a-a80b-b19989ec50ee,SEPE80462EA7331,SEPE8046213C81E,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,StandAloneCluster,3313,3377,P_TEL,P_TEL
1,2,818134,2,1,35590609,35590613,,,,,,615,98400,612,97920,0,,3,,0,3a9341ec-ac34-4c0d-8f4c-8ab372c0dfc3,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,5613811643,3391000,,P_TEL
1,2,818135,2,1,35590615,35590622,,,,,,65,10400,47,7520,0,,2,,0,7994aecf-2e4f-4fb8-b2bd-83d00bae0a94,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,5619351151,3391000,,P_TEL
1,2,818136,2,1,35590624,35590627,,,,,,,,,,,,,,,79d062f4-c76d-47e7-bc35-67f1cb87b6e4,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,3155954874,3391000,,P_TEL
1,2,818137,2,2,35590629,35590630,265,45580,265,45580,0,269,46268,263,45236,0,1,0,0,0,6fad4881-c62e-4c04-8d6e-8b3aca3f38f5,SEPE80462EA7331,SEPE8046213C81E,MLQK=0.0000;MLQKav=0.0000;MLQKmn=0.0000;MLQKmx=0.0000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,MLQK=0.0000;MLQKav=0.0000;MLQKmn=0.0000;MLQKmx=0.0000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,StandAloneCluster,3313,3377,P_TEL,P_TEL
1,2,818138,2,2,35590636,35590637,526,90472,526,90472,0,528,90816,525,90300,0,1,0,0,0,7faf6f3b-c5b9-417d-83e6-087307e5e157,SEPE80462EA7331,SEPE8046213C81E,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,StandAloneCluster,3313,3377,P_TEL,P_TEL
1,2,818131,2,2,35590599,35590600,68202,11730744,68170,11725240,0,,,,,,2,,0,,514f8701-5c81-4267-83b7-e2da8fa2fac6,SEPE80462EAB3E6,10.2.30.37,MLQK=4.5000;MLQKav=4.4960;MLQKmn=4.3828;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0066;CS=11;SCS=0;MLQKvr=0.95,,StandAloneCluster,0360,934604040,P_TEL,P_LOCAL_Rio
1,2,818141,2,1,35590642,35590643,65,11180,64,11008,0,64,10240,64,10240,0,1,1,0,20,d59d6997-eb77-4478-b71c-5354dd8efbe4,SEPD0C28242C5D6,CiscoUM1-VI1,MLQK=0.0000;MLQKav=0.0000;MLQKmn=0.0000;MLQKmx=0.0000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,,StandAloneCluster,7380,3391000,P_TEL,P_TEL
1,2,818142,2,1,35590644,35590647,,,,,,554,88640,552,88320,0,,2,,20,fdceaaab-c531-418b-8e96-d04b602ddb5f,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,5612319410,3391000,,P_TEL
1,2,818140,2,2,35590640,35590641,46521,8001612,46496,7997312,25,,,,,,2,,0,,73d34e4b-3d66-4ea8-a4f8-626af164f199,SEP00260B5C3031,10.2.30.113,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0296;CCR=0.0000;ICRmx=0.0296;CS=1;SCS=1;MLQKvr=0.95,,StandAloneCluster,4150,902122095548,P_TEL,P_LD_Caracas
