Device Name,Status,
SEP001121FFA25C,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA264,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA289,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA29B,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA2A2,None,
SEP001121FFA2A6,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA2B3,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA2C5,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA2E1,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA2F1,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFA2F2,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFA2F3,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA2F4,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFA2F5,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA2F9,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA2FF,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA301,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA30B,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA310,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA315,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA31A,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA32E,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA331,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA338,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA339,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA33A,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA34E,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFA359,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA35F,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA376,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA385,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA397,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA3A4,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFA3BE,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA3C4,Registered with KOFVZOFCCUCMPUB01.sa.kof.ccf,
SEP001121FFA3CB,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA417,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA464,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA478,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFA5C9,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFA5D6,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA5E0,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA5F2,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFA608,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFA60A,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA611,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA649,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA659,None,
SEP001121FFA67F,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA688,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA698,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFA69D,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA6E4,Unregistered,
SEP001121FFA6EA,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA6F9,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
